###############################################################################
Defintion of the variables
  index: ID of structure
  coordiantion: number of the first neigbor of the center Au
  Ead: adsorption energy
  AuC: distance between center Au and C
  com_dis: distance between center Au and center of mass of OCOH
###############################################################################

index coordination Ead_vacuum Ead_reqm AuC_vacuum AuC_reqmcom_dis_vacuum com_dis_reqm
  601611   6    0.1473   -0.1430    2.0740    2.0659   2.5416    2.5267
  601659   6    0.0783   -0.3278    2.0652    2.0607   2.5360    2.5258
  601959   6   -0.0220   -0.2513    2.0769    2.0696   2.5492    2.5192
  602037   6    0.0047   -0.1607    2.0829    2.0706   2.5553    2.5398
  602064   6    0.0603   -0.1716    2.0788    2.0699   2.5561    2.5302
    6115   6    0.0626   -0.1247    2.0778    2.0864   2.5499    2.5553
    6950   7   -0.0319   -0.3007    2.0895    2.0803   2.5632    2.5280
    6983   7    0.0086   -0.3534    2.0874    2.0963   2.5551    2.5672
  700080   7    0.1516   -0.1839    2.0957    2.0853   2.5760    2.5553
  700176   7    0.1138   -0.0915    2.0949    2.0858   2.5704    2.5504
  700227   7   -0.0023   -0.4165    2.0879    2.0796   2.5595    2.5378
  700468   7    0.0450   -0.3134    2.0960    2.0918   2.5679    2.5486
  700639   7    0.0178   -0.2714    2.0839    2.0732   2.5633    2.5420
  700854   7    0.1791   -0.2814    2.0873    2.0769   2.5638    2.5495
  700901   7    0.1156   -0.2029    2.0893    2.0857   2.5638    2.5477
  700982   7    0.1062   -0.1825    2.0828    2.0742   2.5611    2.5441
  701051   7    0.0419   -0.2299    2.0754    2.0700   2.5471    2.5292
  701263   7    0.1696   -0.2448    2.0932    2.0863   2.5693    2.5560
  701329   7   -0.0053   -0.3827    2.0850    2.0796   2.5554    2.5411
  701343   7   -0.0501   -0.2950    2.0728    2.0682   2.5465    2.5257
  701923   7    0.0683   -0.3326    2.0860    2.0749   2.5615    2.5315
  702387   7   -0.0046   -0.2838    2.0911    2.0828   2.5605    2.5375
  702557   7    0.1003   -0.1537    2.0809    2.0728   2.5603    2.5382
  702745   7    0.0147   -0.3571    2.0928    2.0842   2.5722    2.5489
  702754   7    0.0502   -0.1571    2.0876    2.0793   2.5525    2.5337
  800074   8    0.1985   -0.1115    2.1246    2.1133   2.6075    2.5764
  800172   8    0.2619    0.0169    2.1094    2.0985   2.5861    2.5646
  800357   8    0.1758   -0.1045    2.1527    2.1454   2.6676    2.6492
  800411   8    0.1960   -0.0971    2.1048    2.0935   2.5907    2.5586
  800627   8   -0.0115   -0.3598    2.0936    2.0866   2.5668    2.5408
  800634   8    0.2437   -0.0945    2.1252    2.1137   2.5912    2.5563
  800764   8    0.0864   -0.0786    2.0913    2.0862   2.5588    2.5405
  800794   8    0.0990   -0.2934    2.0866    2.0805   2.5703    2.5493
  800827   8    0.2481   -0.1080    2.1169    2.1245   2.5919    2.5964
  800932   8    0.2498   -0.1715    2.1181    2.1113   2.5929    2.5763
  801151   8    0.1113   -0.1335    2.1059    2.1026   2.5840    2.5668
  801475   8    0.2050   -0.1176    2.1109    2.1031   2.5859    2.5696
  801627   8    0.1291   -0.2025    2.0957    2.0928   2.5783    2.5646
  801728   8    0.1106   -0.1490    2.0946    2.0863   2.5886    2.5766
  801767   8    0.2624    0.0090    2.1028    2.0990   2.5756    2.5551
  801799   8    0.2889   -0.1163    2.0866    2.0783   2.5674    2.5401
  802093   8    0.1182   -0.2000    2.1156    2.1083   2.5855    2.5730
  802181   8    0.1697   -0.0590    2.1264    2.1191   2.5985    2.5832
  802191   8    0.1346   -0.1704    2.0997    2.0922   2.5783    2.5582
