system Eqm_adsorption(eV) Ereqm_adsorption(eV) Ereqm_adsorption_solv_fixed(eV) Ereqm_adsorption_solv_min(eV)
CONTCAR_AuCOOH_800074 0.19850000 0.21779291 -0.10489578 -0.11153055 
CONTCAR_AuCOOH_800172 0.26190000 0.27415300 0.03110903 0.01690172 
CONTCAR_AuCOOH_800357 0.17580000 0.20808146 -0.08255523 -0.10454643 
CONTCAR_AuCOOH_800411 0.19600000 0.23280248 -0.09442179 -0.09713450 
CONTCAR_AuCOOH_800627 -0.01150000 0.02609996 -0.34103207 -0.35982007 
CONTCAR_AuCOOH_800634 0.24370000 0.27183073 -0.07378167 -0.09446607 
CONTCAR_AuCOOH_800764 0.08640000 0.10151232 -0.04536018 -0.07856588 
CONTCAR_AuCOOH_800794 0.09900000 0.14157049 -0.27238115 -0.29341181 
CONTCAR_AuCOOH_800827 0.24810000 0.28074993 -0.05896089 -0.10804785 
CONTCAR_AuCOOH_800932 0.24980000 0.28149835 -0.14427000 -0.17153098 
CONTCAR_AuCOOH_801151 0.11130000 0.11150559 -0.08711512 -0.13348114 
CONTCAR_AuCOOH_801475 0.20500000 0.21355795 -0.07636204 -0.11764623 
CONTCAR_AuCOOH_801627 0.12910000 0.13837889 -0.17487869 -0.20245524 
CONTCAR_AuCOOH_801728 0.11060000 0.13355860 -0.10309373 -0.14898738 
CONTCAR_AuCOOH_801767 0.26240000 0.27759952 0.02632329 0.00904539 
CONTCAR_AuCOOH_801799 0.28890000 0.32148751 -0.11336628 -0.11627972 
CONTCAR_AuCOOH_802093 0.11820000 0.17337159 -0.16422841 -0.19995788 
CONTCAR_AuCOOH_802181 0.16970000 0.17682196 -0.02211415 -0.05903406 
CONTCAR_AuCOOH_802191 0.13460000 0.16608429 -0.16219596 -0.17037656 
CONTCAR_AuCOOH_802344 0.13630000 0.17768085 -0.12327022 -0.14644568 
CONTCAR_AuCOOH_802491 0.22720000 0.26599119 -0.04221425 -0.05566846 
CONTCAR_AuCOOH_8063 0.11820000 0.11894211 -0.08008001 -0.11667468 
CONTCAR_AuCOOH_8155 0.07780000 0.09907377 -0.11001425 -0.14874412 
CONTCAR_AuCOOH_900023 0.22800000 0.25524101 -0.11110667 -0.14089639 
CONTCAR_AuCOOH_900196 0.39010000 0.41735909 0.19271994 0.16019231 
CONTCAR_AuCOOH_900510 0.15910000 0.19642787 -0.02600896 -0.06854662 
CONTCAR_AuCOOH_900712 0.19500000 0.23824179 0.04422282 0.00264493 
CONTCAR_AuCOOH_900773 0.25200000 0.29924392 0.00501531 -0.03072600 
CONTCAR_AuCOOH_900803 0.25530000 0.30427215 0.11409596 0.11115354 
